order_date,order_id,customer_id,customer_name,product_id,product_name,category,sub_category,region,quantity,unit_price,discount,total_revenue,total_cost,profit
2024-01-05,ORD-1001,CUST-201,Acme Corp,PROD-501,MacBook Pro 16",Technology,Laptops,North,2,2499.00,0.05,4748.10,3200.00,1548.10
2024-01-08,ORD-1002,CUST-202,Global Logistics,PROD-502,Ergonomic Chair,Furniture,Chairs,South,4,299.00,0.00,1196.00,720.00,476.00
2024-01-12,ORD-1003,CUST-203,Apex Systems,PROD-503,Laser Printer Pro,Technology,Printers,East,1,450.00,0.10,405.00,280.00,125.00
2024-01-17,ORD-1004,CUST-204,Zenith Media,PROD-504,Standing Desk 60",Furniture,Desks,West,2,550.00,0.00,1100.00,680.00,420.00
2024-01-22,ORD-1005,CUST-205,Nexus Financial,PROD-505,Wireless Keyboard & Mouse,Office Supplies,Accessories,North,5,75.00,0.00,375.00,180.00,195.00
2024-01-26,ORD-1006,CUST-206,Vanguard Retail,PROD-506,4K Ultra Monitor 32",Technology,Monitors,South,3,650.00,0.00,1950.00,1200.00,750.00
2024-01-29,ORD-1007,CUST-207,Summit Health,PROD-507,Heavy Duty Paper Shredder,Office Supplies,Equipment,East,2,180.00,0.05,342.00,200.00,142.00
2024-02-03,ORD-1008,CUST-208,Beacon Tech,PROD-501,MacBook Pro 16",Technology,Laptops,West,3,2499.00,0.00,7497.00,4800.00,2697.00
2024-02-07,ORD-1009,CUST-209,Cascade Design,PROD-508,Filing Cabinet 3-Drawer,Furniture,Storage,North,2,220.00,0.00,440.00,260.00,180.00
2024-02-11,ORD-1010,CUST-210,Pinnacle Advisory,PROD-509,Noise Cancelling Headset,Technology,Audio,South,6,150.00,0.15,765.00,450.00,315.00
2024-02-15,ORD-1011,CUST-201,Acme Corp,PROD-510,Conference Table 8ft,Furniture,Tables,East,1,1200.00,0.00,1200.00,750.00,450.00
2024-02-19,ORD-1012,CUST-211,Oasis BioTech,PROD-511,Premium Copy Paper Box,Office Supplies,Paper,West,10,45.00,0.00,450.00,220.00,230.00
2024-02-24,ORD-1013,CUST-212,Horizon Security,PROD-506,4K Ultra Monitor 32",Technology,Monitors,North,4,650.00,0.05,2470.00,1600.00,870.00
2024-02-28,ORD-1014,CUST-213,Atlas Cloud,PROD-504,Standing Desk 60",Furniture,Desks,South,3,550.00,0.00,1650.00,1020.00,630.00
2024-03-04,ORD-1015,CUST-214,Quantum Labs,PROD-501,MacBook Pro 16",Technology,Laptops,East,4,2499.00,0.10,8996.40,6400.00,2596.40
2024-03-08,ORD-1016,CUST-215,Solaris Energy,PROD-502,Ergonomic Chair,Furniture,Chairs,West,5,299.00,0.00,1495.00,900.00,595.00
2024-03-12,ORD-1017,CUST-202,Global Logistics,PROD-505,Wireless Keyboard & Mouse,Office Supplies,Accessories,North,8,75.00,0.00,600.00,288.00,312.00
2024-03-16,ORD-1018,CUST-216,Vertex Digital,PROD-503,Laser Printer Pro,Technology,Printers,North,2,450.00,0.00,900.00,560.00,340.00
2024-03-21,ORD-1019,CUST-217,Pulse Analytics,PROD-512,Executive Leather Chair,Furniture,Chairs,South,2,420.00,0.00,840.00,500.00,340.00
2024-03-25,ORD-1020,CUST-203,Apex Systems,PROD-506,4K Ultra Monitor 32",Technology,Monitors,East,2,650.00,0.00,1300.00,800.00,500.00
2024-03-29,ORD-1021,CUST-218,Nova Networks,PROD-507,Heavy Duty Paper Shredder,Office Supplies,Equipment,West,1,180.00,0.00,180.00,100.00,80.00
2024-04-03,ORD-1022,CUST-204,Zenith Media,PROD-501,MacBook Pro 16",Technology,Laptops,North,3,2499.00,0.00,7497.00,4800.00,2697.00
2024-04-07,ORD-1023,CUST-219,Delta Solutions,PROD-504,Standing Desk 60",Furniture,Desks,East,4,550.00,0.05,2090.00,1360.00,730.00
2024-04-12,ORD-1024,CUST-220,Titanium Ventures,PROD-509,Noise Cancelling Headset,Technology,Audio,West,4,150.00,0.00,600.00,300.00,300.00
2024-04-18,ORD-1025,CUST-205,Nexus Financial,PROD-510,Conference Table 8ft,Furniture,Tables,South,2,1200.00,0.00,2400.00,1500.00,900.00
2024-04-23,ORD-1026,CUST-221,Starlight Media,PROD-511,Premium Copy Paper Box,Office Supplies,Paper,South,15,45.00,0.10,607.50,330.00,277.50
2024-04-28,ORD-1027,CUST-206,Vanguard Retail,PROD-502,Ergonomic Chair,Furniture,Chairs,North,6,299.00,0.05,1704.30,1080.00,624.30
2024-05-04,ORD-1028,CUST-222,Crestview Capital,PROD-501,MacBook Pro 16",Technology,Laptops,South,5,2499.00,0.00,12495.00,8000.00,4495.00
2024-05-09,ORD-1029,CUST-223,Silverline Health,PROD-506,4K Ultra Monitor 32",Technology,Monitors,West,3,650.00,0.00,1950.00,1200.00,750.00
2024-05-14,ORD-1030,CUST-207,Summit Health,PROD-508,Filing Cabinet 3-Drawer,Furniture,Storage,East,4,220.00,0.00,880.00,520.00,360.00
2024-05-19,ORD-1031,CUST-224,Infinity Dynamics,PROD-505,Wireless Keyboard & Mouse,Office Supplies,Accessories,East,10,75.00,0.00,750.00,360.00,390.00
2024-05-24,ORD-1032,CUST-208,Beacon Tech,PROD-512,Executive Leather Chair,Furniture,Chairs,North,3,420.00,0.00,1260.00,750.00,510.00
2024-05-29,ORD-1033,CUST-225,Echo Systems,PROD-503,Laser Printer Pro,Technology,Printers,South,2,450.00,0.00,900.00,560.00,340.00
2024-06-03,ORD-1034,CUST-209,Cascade Design,PROD-501,MacBook Pro 16",Technology,Laptops,East,4,2499.00,0.05,9496.20,6400.00,3096.20
2024-06-08,ORD-1035,CUST-226,Velocity Partners,PROD-504,Standing Desk 60",Furniture,Desks,West,5,550.00,0.00,2750.00,1700.00,1050.00
2024-06-14,ORD-1036,CUST-210,Pinnacle Advisory,PROD-502,Ergonomic Chair,Furniture,Chairs,North,8,299.00,0.10,2152.80,1440.00,712.80
2024-06-19,ORD-1037,CUST-227,CoreLogic Global,PROD-506,4K Ultra Monitor 32",Technology,Monitors,South,4,650.00,0.00,2600.00,1600.00,1000.00
2024-06-25,ORD-1038,CUST-228,Aegis Tech,PROD-509,Noise Cancelling Headset,Technology,Audio,East,5,150.00,0.00,750.00,375.00,375.00
2024-06-28,ORD-1039,CUST-201,Acme Corp,PROD-511,Premium Copy Paper Box,Office Supplies,Paper,North,20,45.00,0.05,855.00,440.00,415.00
2024-06-30,ORD-1040,CUST-212,Horizon Security,PROD-510,Conference Table 8ft,Furniture,Tables,West,1,1200.00,0.00,1200.00,750.00,450.00
